,Date,ID,url,username,source,location,tweet,num of likes,num of retweets
262,2022-12-17 10:34:30+00:00,1604062472603942912,https://twitter.com/StefanH38016719/status/1604062472603942912,StefanH38016719,Twitter Web App,"Lübbecke, NRW, Germany","@NurderK @carla_hinrichs_ Seit neuestem ist Nötigung offenbar eine schwere Straftat. Die #LetzteGeneration sollte Steuern hinterziehen, das zieht geringere Konsequenzen nach sich.",6,2
263,2022-12-17 10:29:09+00:00,1604061127373119491,https://twitter.com/DreieieiBenny/status/1604061127373119491,DreieieiBenny,Twitter Web App,Deutschland,"Thomas Fischer im Podcast (SPRECHEN WIR ÜBER MORD?!) über die #Klimakleber
Ab 31:44
https://t.co/kVyAbRiX8T",0,0
264,2022-12-17 10:29:05+00:00,1604061109182517251,https://twitter.com/emojizedcom/status/1604061109182517251,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/zL61aZ6isv",0,0
265,2022-12-17 10:26:35+00:00,1604060481248952321,https://twitter.com/rauti72/status/1604060481248952321,rauti72,Twitter Web App,"Kiel, Syddanmark","@Elektro_Robin maximaler respekt an #lastgeneration !
maximale verachtung am merz v. papen !",1,0
266,2022-12-17 10:24:35+00:00,1604059979312693248,https://twitter.com/mmeffects2022/status/1604059979312693248,mmeffects2022,Twitter Web App,,"@letztegenAT Hoffe auf zahlreichen Besuch von Polizei&amp; Verfassungsschutz bei diesen ""Vorträgen"" der kriminellen Vereinigung ""letzteGeneration"" aka #Klimakleber #Terroristen.
Erkennungsdienstliche Erfassung idealerweise gleich beim Eingang. Spart später Zeit ;-)",1,0
267,2022-12-17 10:23:21+00:00,1604059666320969728,https://twitter.com/paradieskiosk/status/1604059666320969728,paradieskiosk,Twitter Web App,"milkyway, earth, paradise",#LetzteGeneration flutet Teile Spaniens! https://t.co/ywVBMeOUhJ,1,0
268,2022-12-17 10:19:23+00:00,1604058669276364800,https://twitter.com/gggokocha/status/1604058669276364800,gggokocha,Twitter for iPhone,"Frankfurt am Main, Deutschland",Die armen Kinder :/ Die Mutter muss irgendwann in eine klinische Einrichtung. #Klimakleber https://t.co/OTkTUERxQG,1,0
269,2022-12-17 10:18:05+00:00,1604058344473653248,https://twitter.com/alphapille/status/1604058344473653248,alphapille,Twitter for Android,Deutschland,"#KLIMARAF #Klimakleber

Ja oder Nein?
„Die Gewalt gegen Personen hat immer mit der Gewalt gegen Sachen begonnen."" Fakt. https://t.co/UFnq4esoCi",0,0
270,2022-12-17 10:16:05+00:00,1604057837935771648,https://twitter.com/emojizedcom/status/1604057837935771648,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/zzdB3LKYaf",0,0
271,2022-12-17 10:13:05+00:00,1604057086261862400,https://twitter.com/PapkeGerhard/status/1604057086261862400,PapkeGerhard,Twitter Web App,Königswinter Berlin Budapest,"Die #LetzteGeneration ist nichts anderes als die nächste Entwicklungsstufe der #Grünen. Deshalb tun sich grüne Politiker auch so schwer, sich von ihr zu distanzieren, selbst wenn sie offensichtlich kriminell ist. Ähnliches gilt für die vielen Fans der Grünen bei ARD und ZDF.",863,104
272,2022-12-17 10:07:22+00:00,1604055647204646912,https://twitter.com/herbertEXgth/status/1604055647204646912,herbertEXgth,Twitter Web App,Bayern 😥oder Kenia 🙃👍,"@MarcoBuschmann Die Belange, für die die #LetzteGeneration sich einsetzt, sind absolut berechtigt und (!) in unser aller Interesse. Die Aktivitäten, mit denen sie darauf aufmerksam macht, sind m. E. kontraproduktiv.
Aber statt mit ihr in einen Dialog zu treten, wird sie kriminalisiert.",3,0
273,2022-12-17 10:06:03+00:00,1604055316408287234,https://twitter.com/superchemist13/status/1604055316408287234,superchemist13,Twitter for iPhone,,"@RurikTy Die Qualitätsmedien, insbesondere die FR, sind gänzlich unbekannt dafür, spalterische Meldungen in die Welt zu setzen.
Die alte Frage: Cui bono?

Meine Meinung zu den bisherigen Aktionen von #lastgeneration habe ich stets klargelegt.

Details: https://t.co/87qotmHcCD",0,0
274,2022-12-17 10:05:45+00:00,1604055237748310017,https://twitter.com/ErGodbutter/status/1604055237748310017,ErGodbutter,Twitter Web App,מידגארד,"@MarcoBuschmann Wenn 50 Rentner mit Luftdruckgewehren die größte Nationale Sicherheitslücke seit dem 2.Weltkrieg darstellen, dann bitte auch ein Auge auf 10tausende von gewaltbereiten Schulabgängern der #LetzteGeneration haben, die mit anderen Terrornetzwerken wie Antifa &amp; FFF kooperieren.",0,0
275,2022-12-17 10:04:08+00:00,1604054833652457473,https://twitter.com/FoxMulder944/status/1604054833652457473,FoxMulder944,Twitter Web App,,#Klimaerwärmung. SNOW CONTINUES TO BUILD IN MOSCOW; 1-METER BURIES KAZAKHSTAN CITY IN 30HOURS; TASMANIA COLDEST DECEMBER DAY IN 50-YEARS; UK MET OFFICE ESCALATES SNOW/ICE WARNINGS;#Klimaschwindel #Klimakrise #Klimakatastrophe #Klimakleber #FFF #Klimaschutz https://t.co/C5yrqGY08O,2,3
276,2022-12-17 09:59:26+00:00,1604053647805104129,https://twitter.com/christophnebgen/status/1604053647805104129,christophnebgen,Twitter for iPhone,"Hamburg,  Deutschland","@MarcoBuschmann Das ist keine „politische Auseinandersetzung“; IHR seid es, die Eure politische Aufgabe verweigert. Die #LetzteGeneration kämpft dafür, dass IHR euch endlich an den Auftrag des Bundesverfassungsgerichts haltet!",287,16
277,2022-12-17 09:59:00+00:00,1604053540758061056,https://twitter.com/JulianStopa/status/1604053540758061056,JulianStopa,Twitter for iPhone,,"„Ich war total irritiert, ich war doch da, um für den Klimaschutz zu kämpfen und nicht um nach der Aftershowparty in eine Fünf-Sterne-Suite mit Whirlpool gefahren zu werden, die vom Sender bezahlt wurde“ - ⁦@AimeevanBaalen⁩ 
#LetzteGeneration https://t.co/5ycDZ2Sk0E",1,0
278,2022-12-17 09:57:02+00:00,1604053043359907840,https://twitter.com/michl_albrt/status/1604053043359907840,michl_albrt,Twitter for iPhone,,"Die wirtschaftlichen Schäden der Klimakrise werden ALLE ein Leben lang zu tragen haben, wenn die liberal-konservativen Klimabremser nicht bald zur Vernunft kommen.
#letztegeneration #buschmann #fdp https://t.co/soqHHlc84r",53,14
279,2022-12-17 09:55:50+00:00,1604052743932485632,https://twitter.com/bue_des/status/1604052743932485632,bue_des,Twitter for iPhone,NRW,"@nenacasc @klamroth @Luisamneubauer #Klamroth unterstützt #lastgeneration. #Jarasch, Ehemann v. @GoeringEckardt, „kämpft“ bei #rbb geg. alle, für die #Grünen.
#Lehfeldt &amp; #Lindner..
Journalisten, die 1:1 die polit Positionen ihrer Partner übernehmen, sind weder kritisch noch unabhängig. Sie sind Erfüllungsgehilfen.",0,0
280,2022-12-17 09:52:25+00:00,1604051884867715072,https://twitter.com/RudolfPetersen4/status/1604051884867715072,RudolfPetersen4,Twitter Web App,,"@BUND_Berlin @AufstandLastGen ""Wir sind die #LetzteGeneration, die den völligen Klimakollaps noch aufhalten kann!""
Kommt mir vor wie ""Die Physiker"" von Dürrenmatt.
Wer von den Klebe-Chefs ist denn nun Mathilde von Zahnd?",2,0
281,2022-12-17 09:50:04+00:00,1604051292002951170,https://twitter.com/RealTadzioM/status/1604051292002951170,RealTadzioM,Twitter Web App,berlin,"Frage: ""Warum legt die #LetzteGeneration es darauf an, uns zu nerven?""

Antwort:

Weil gestern der ""globale Kohleverbrauch 1 neues Rekordniveau"" erreichte;

weil heute ""das 1. schwimmende dt. #LNG-Terminal eröffnet"" wird;

&amp; es morgen immer noch kein #Tempolimit geben wird.",164,33
282,2022-12-17 09:49:21+00:00,1604051111605899265,https://twitter.com/OSchreibt/status/1604051111605899265,OSchreibt,Twitter for Android,,"@welt #Klimakrise ☝️ Kehret um und tuet Buße, das Ende ist nahe!
#LetzteGeneration",0,0
283,2022-12-17 09:48:40+00:00,1604050940507701249,https://twitter.com/Giid78/status/1604050940507701249,Giid78,Twitter for Android,,"@_FriedrichMerz Wenn ""besorgte"" Bürger sich bewaffnen dann sieht der Fritzi darin kein Problem. Sie hätten schließlich ""berechtigte"" Bedenken, die man wichtig nehmen muss. Wenn #Klimakleber ne Straße dicht machen, dann droht der Untergang des Abendlandes für Fritzi, das muss er verhindern 🤮🤦‍♂️",0,0
284,2022-12-17 09:48:15+00:00,1604050833213198339,https://twitter.com/v3t35/status/1604050833213198339,v3t35,Twitter for Android,"Dresden, Sachsen","@MarcoBuschmann Nahezu jeder Politiker begeht Straftaten zur Erreichung seiner persönlichen Ziele. Amthor, Scheuer, Spahn, Lindner, ... und niemand von denen wird zur Rechenschaft gezogen. Das Peoblem, dass #LetzteGeneration hat ist, keine Lobby zu haben.",0,0
285,2022-12-17 09:42:34+00:00,1604049406377992192,https://twitter.com/BUND_Berlin/status/1604049406377992192,BUND_Berlin,Twitter for Android,"Berlin, Deutschland","""Und wir regen uns auf, dass wir 20 Minuten später im Fitnessstudio ankommen."" #LetzteGeneration https://t.co/zIctng4w5j",3,2
286,2022-12-17 09:41:36+00:00,1604049160503627776,https://twitter.com/Nette_0870/status/1604049160503627776,Nette_0870,Twitter for Android,Deutschland,"...#FDP gegen die #LetzteGeneration wird ein Hass auf diese Gruppe geschürt, dabei wollen sie nur Ihre Zukunft retten. Und #SPD und @Die_Gruenen schauen nur zu.
Es ist zum verzweifeln. Bei soviel Dummheit hat die Menschheit keine Chance und schon verloren. 
#politikverdrossen 😒",0,0
287,2022-12-17 09:41:35+00:00,1604049155332091904,https://twitter.com/Nette_0870/status/1604049155332091904,Nette_0870,Twitter for Android,Deutschland,"Es ist so unsäglich dumm, was die Regierung hier tut.
Die #LetzteGeneration zu kriminalisieren, nur um die festgesetzten #Klimaziele nicht erreichen zu müssen, ja das ist ein Verbrechen! 
Der Propaganda von #KlimaRAF und Gleichstellung zu #Reichsbuerger auf dem Leim zu gehen. 🙄 https://t.co/V2xfdHnegD",2,0
288,2022-12-17 09:41:22+00:00,1604049101078790146,https://twitter.com/LEN_1977/status/1604049101078790146,LEN_1977,Twitter for Android,@LEN_1977@mastodon.social,Damit ist die #LetzteGeneration im Grunde nicht viel anders als die Generation der korrupten Lobbyisten und  Steuerbetrüger. https://t.co/qI0uoKfo0e,3,0
289,2022-12-17 09:38:55+00:00,1604048487817285633,https://twitter.com/rheto/status/1604048487817285633,rheto,Twitter for iPad,"Äh, hier.","Den Verkehrsmeldungen im Radio entnehme ich, dass die #letzteGeneration großflächige Aktionen auf Fernstraßen am laufen hat. Wenn nicht, ist der Sprit wohl immer noch nicht teuer genug.",0,0
290,2022-12-17 09:36:45+00:00,1604047941248974850,https://twitter.com/patriarchats/status/1604047941248974850,patriarchats,Twitter for iPhone,"Herrenberg, Deutschland","Weshalb sollte die Politik mit Extremisten diskutieren?
Sollte die #Bundesregierung auch Delegationen von #Islamist|en und #Reichsbürger empfangen? 
Bei Gysi sind wohl alle Sicherungen durchgebrannt. 
#LetzteGeneration
#Extremismus https://t.co/LtGGMnN4z3",2,0
291,2022-12-17 09:33:50+00:00,1604047207623282688,https://twitter.com/1410_berlin/status/1604047207623282688,1410_berlin,Twitter for Android,"Berlin, Germany","@netter16 @MarcoBuschmann Erpressung? Du weißt schon, #LetzteGeneration will nur, dass Politiker ihre eigenen Gesetze einhält.

Warum informieren sich die Menschen nie?",4,0
292,2022-12-17 09:31:24+00:00,1604046593874763778,https://twitter.com/RealTadzioM/status/1604046593874763778,RealTadzioM,Twitter Web App,berlin,"Schaut mal, dt. Umweltverbände: Menschen in *Pakistan* solidarisieren sich mit der #LetzteGeneration, Ihr schafft's nicht einmal, nen kleinen Solitweet zu schreiben.

@bund_net, @naturschutzring... Nehmt Euch 1 Beispiel. &amp; vor allem: zeigt *echte* Soli mit Menschen in Pakistan! https://t.co/RUYl9BdLvR",40,18
293,2022-12-17 09:31:15+00:00,1604046556323516416,https://twitter.com/1410_berlin/status/1604046556323516416,1410_berlin,Twitter for Android,"Berlin, Germany","@bmj_bund @MarcoBuschmann @RND_de Die #LetzteGeneration gibt es nur, weil Politiker Gesetze missachten und den Bundesgerichtshof ignorieren und jetzt wollt ihr sie kriminalisieren... jössäs",5,0
294,2022-12-17 09:30:00+00:00,1604046242203504641,https://twitter.com/RND_de/status/1604046242203504641,RND_de,TweetDeck,Hannover,Seit fast einem Jahr hält die #LetzteGeneration das Land im Atem. Die Bewegung braucht immer neue Schlagzeilen - und Mitstreiter. In „Aktionstrainings“ übt sie mit Interessenten deshalb den zivilen Widerstand. https://t.co/DtB6LrLXZS,4,1
295,2022-12-17 09:23:56+00:00,1604044715107688449,https://twitter.com/tobiasmoehlen/status/1604044715107688449,tobiasmoehlen,Twitter for iPhone,,"@MarcoBuschmann @RND_de Herr #Bundesjustizminister, bitte: Kommen Sie zurück auf den demokratisch, rechtstaatlichen Teppich!

Der #LetzteGeneration geht es mit zivilem Ungehorsam NICHT um die Beseitigung der #Demokratie oder der #Rechtstaatlichkeit
Dies zu implizieren ist infam!

https://t.co/5rMPlxQuYk https://t.co/0i7vb66urx",1,0
296,2022-12-17 09:22:29+00:00,1604044352166039552,https://twitter.com/ADFC_SH/status/1604044352166039552,ADFC_SH,Twitter Web App,"Kiel, Schleswig-Holstein",Präventiv gegen die Klimakrise – nicht gegen Demonstrierende! Wir verurteilen die Kriminalisierung der Klimabewegung und Gewalt gegen friedliche Aktivist*innen. #LetzteGeneration,33,5
297,2022-12-17 09:22:27+00:00,1604044340636094464,https://twitter.com/IlkaMaas/status/1604044340636094464,IlkaMaas,Twitter for iPhone,,@Lam3th Bzw lieber VERKAUFEN und den Erlös der #LetzteGeneration schenken,0,0
298,2022-12-17 09:19:48+00:00,1604043675121553408,https://twitter.com/ElenaPoker/status/1604043675121553408,ElenaPoker,Twitter for iPhone,Switzerland,#Klimakleber #klimaathysterie #Aktivsten https://t.co/XalhIfagfL,0,0
299,2022-12-17 09:17:09+00:00,1604043009481383937,https://twitter.com/superchemist13/status/1604043009481383937,superchemist13,Twitter for iPhone,,@ChriXCoenen @christophploss @_FriedrichMerz DAS ging mal in die richtige Richtung. Allerdings werden die Manipulateusen der Öffentlichen Meinung #lastgeneration jetzt als “Putschisten” nach US-Capitol-Vorbild und als Jugendorganisation der “Reichsbürger” framen.,0,0
300,2022-12-17 09:13:25+00:00,1604042067222700032,https://twitter.com/mikeltwi123/status/1604042067222700032,mikeltwi123,Twitter for Android,F - Rhein-Main-Delta,"#Tempolimit zum Beispiel
Würde NICHTS kosten, aber Co2 einsparen und somit auch Leben schützen
Verhindert man ein #Tempolimit, macht man sich mMn strafbar
#LastGeneration",10,2
301,2022-12-17 09:10:08+00:00,1604041244312834048,https://twitter.com/HeadSoccer_Main/status/1604041244312834048,HeadSoccer_Main,Twitter for Android,Unbekannt,Wenn die Regierung selbst die Verfassung Artikel #20aGG bricht ist ziviler Ungehorsam der sie darauf aufmerksam machen soll erste Bürger:Innenpflicht. Es geht um den Erhalt unserer Lebensgrundlage. Die Klimakatastrophe betrifft und trifft uns alle. #LetzteGeneration https://t.co/SLgJcRJw47,18,5
302,2022-12-17 09:09:19+00:00,1604041036011118592,https://twitter.com/BRAVENEWEUROPE1/status/1604041036011118592,BRAVENEWEUROPE1,Twitter Web App,,"Nur, dass die Briten wissen, dass in Deutschland und der EU immer noch Recht und Ordnung herrschen. Der Führer wäre so stolz gewesen.

Hauke Benner – KlimaaktivistInnen der Letzten Generation sollen hinter Gitter

https://t.co/9hy2UgWE8r

#Demokratie #LetzteGeneration #Klimakrise https://t.co/wIDeffHlhY",0,1
303,2022-12-17 09:08:27+00:00,1604040820776226817,https://twitter.com/_ChaoticHuman/status/1604040820776226817,_ChaoticHuman,Twitter Web App,Pale Blue Dot,"Wenn eure Erstpriorität ist, Vereine von KlimaaktivistInnen, wie #LetzteGeneration zu verbieten (&amp; ich sage das als Person, die Letzte Generation gemischt sieht), statt endlich v.a. nach #HeinrichXIII ein Parteiverbot der #AfD voranzutreiben, läuft etwas gewaltig schief mit euch.",0,0
304,2022-12-17 09:08:04+00:00,1604040722629496833,https://twitter.com/mikeltwi123/status/1604040722629496833,mikeltwi123,Twitter for Android,F - Rhein-Main-Delta,"Ist unterlassen Hilfeleistung nicht auch eine schwere Straftat?
Wer erklärt es mal Politikern, die unsere aller Zukunft grade verheizen
#LastGeneration
#Klimakatastrophe",30,6
305,2022-12-17 09:06:52+00:00,1604040421617041409,https://twitter.com/RealTadzioM/status/1604040421617041409,RealTadzioM,Twitter Web App,berlin,"Die transnationale Offensive vs. #LetzteGeneration, #JustStopOil et al hat folgende Dimensionen:

- ""horizontale"" Gewalt von AutofahrerN vs. Blockaden
- legislative &amp; juristische Angriffe (PAG Bayern, ""#kriminelleVereinigung)
- s.u.: finanzielle Repression

Hab ich was vergessen? https://t.co/i78uO7yiZJ",16,2
306,2022-12-17 09:03:48+00:00,1604039650158735360,https://twitter.com/mikekotsch/status/1604039650158735360,mikekotsch,Twitter Web App,"Berlin, Germany",@zeitonline Bürgern der Erde droht laut der #LetzteGeneration der klimatische Ruin. Sie müssten die Schäden der staatlichen Arbeitsverweigerung unter Umständen ein Leben lang abtragen.,4,0
307,2022-12-17 09:02:10+00:00,1604039239225774080,https://twitter.com/Twittbear9000/status/1604039239225774080,Twittbear9000,Twitter for Android,,"#Bosetti
#Reichsbuerger
vs #Klimakleber

https://t.co/J5GAsWMUYN",1,0
308,2022-12-17 09:00:24+00:00,1604038793845428224,https://twitter.com/LisaKlaster/status/1604038793845428224,LisaKlaster,Twitter for iPhone,Germany,"@MarcoBuschmann @RND_de Kommen Sie mal bitte wieder auf den Teppich! Es ist dreist, dass Minister, die wissentlich das #PariserKlimaabkommen und das Urteil des #BVerfG missachten, sich so lauthals aus dem Fenster lehnen. Reden Sie mit der #LetzteGeneration statt sie in die kriminelle Ecke zu stellen.",6,0
309,2022-12-17 08:59:08+00:00,1604038473572384769,https://twitter.com/holger_moller/status/1604038473572384769,holger_moller,Twitter Web App,Mainz/Wiesbaden,"Hätte mir vor einem Jahr jemand gesagt, dass ich heute eine Software fragen würde, wie man* mit Inhaftierten in Justizvollzugsanstalten in Bayern in Kontakt treten kann, hätte ich wohl ziemlich verduzt geguckt.

*ich

#chatGPT #LetzteGeneration",1,0
310,2022-12-17 08:57:20+00:00,1604038023280304128,https://twitter.com/Fr4nX/status/1604038023280304128,Fr4nX,Twitter for iPhone,"Oldenburg (Oldenburg), Deutsch",Sie sind Gutmenschen aber keine guten Menschen. Was sie ausmacht ist ihr Hass und nicht die Liebe #LetzteGeneration,0,0
311,2022-12-17 08:55:11+00:00,1604037480793219072,https://twitter.com/emojizedcom/status/1604037480793219072,emojizedcom,WP Plugin Dev Com,"Zurich, Switzerland","#Klimaaktivisten, #Klimakleber sind spinner!💻 Projekt #Narrativ ändern https://t.co/EAMplmZiuJ",0,0
312,2022-12-17 08:53:09+00:00,1604036966634356736,https://twitter.com/RealTadzioM/status/1604036966634356736,RealTadzioM,Twitter Web App,berlin,"via @zherada: ""@rbb24Inforadio spricht jetzt auch von der 'selbsternannten' #LetzteGeneration. Wenn ich die offiziellen Nachrichten aus der #Verdrängungsgesellschaft brauche, mache ich einfach diesen Sender an. @AufstandLastGen"" https://t.co/UHeDk3nde5",13,2
313,2022-12-17 08:52:43+00:00,1604036857909608448,https://twitter.com/wertunion/status/1604036857909608448,wertunion,IFTTT,Deutschland,"cducsubt: Eine kleine Odyssee lag vor der Aufnahme für diese Folge des #Podcast|s. Nachdem Fraktionschef @_FriedrichMerz &amp; @hoofenpoofer dann endlich sprechen konnten, ging’s um die 🇺🇦, #Reichsbürger, @DB_Presse &amp; #Klimakleber. 
🎧 Reinhören! 👇
… https://t.co/njOGWHZ1sh",0,0
314,2022-12-17 08:51:03+00:00,1604036441356509185,https://twitter.com/Nailfreak1/status/1604036441356509185,Nailfreak1,Twitter for iPad,"Bayern, Deutschland","#Monitor #WDR #OERR #Klimakleber #LetzteGeneration 
Noch Fragen? https://t.co/tBHSGWtW1j",27,5
315,2022-12-17 08:48:56+00:00,1604035909045080064,https://twitter.com/realTomBohn/status/1604035909045080064,realTomBohn,Twitter Web App,Berlin,"Linksaussen verharmlost die Razzia gegen die #LetzteGeneration,
rechtsaussen verharmlost die Razzia gegen die #Reichsbürger.
Die Wortwahl ist fast indentisch.
#Hufeisen https://t.co/1pGL3EJTVG",216,28
